"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2020/05/19","6.21","6.32","6.2","6.24","-0.27999999999999936","-4.29","199124.29"
"2020/05/18","6.6","6.63","6.47","6.52","-0.3100000000000005","-4.54","206912.799"
"2020/05/15","6.78","6.93","6.75","6.83","-0.33999999999999986","-4.74","305110.036"
"2020/05/14","7.02","7.17","6.96","7.17","0.6399999999999997","9.80","444845.92"
"2020/05/13","6.74","6.8","6.51","6.53","0.4400000000000004","7.22","426056.072"
"2020/05/12","6.12","6.22","6.07","6.09","-0.14000000000000057","-2.25","268542.058"
"2020/05/11","6.17","6.23","6.13","6.23","-0.3899999999999997","-5.89","205498.318"
"2020/05/08","6.6","6.64","6.57","6.62","-0.3899999999999997","-5.56","245027.662"
"2020/05/07","7.09","7.1","6.96","7.01","0.009999999999999787","0.14","127546.566"
"2020/05/06","7.11","7.17","7","7","-0.16999999999999993","-2.37","234583.644"
"2020/05/05","7.17","7.2","7.11","7.17","-0.41000000000000014","-5.41","179551.25"
"2020/05/04","7.8","7.85","7.53","7.58","1.0999999999999996","16.98","433680.431"
"2020/04/30","6.62","6.64","6.46","6.48","-0.3699999999999992","-5.40","238209"
"2020/04/29","6.96","6.98","6.84","6.85","-0.1900000000000004","-2.70","237053.484"
"2020/04/28","6.99","7.14","6.97","7.04","-0.2999999999999998","-4.09","218514.801"
"2020/04/27","7.51","7.59","7.33","7.34","-0.8399999999999999","-10.27","285394.131"
"2020/04/24","8.21","8.23","8.1","8.18","0.17999999999999972","2.25","197196.748"
"2020/04/23","8","8.16","7.91","8","-0.35999999999999943","-4.31","273869.979"
"2020/04/22","8.49","8.59","8.36","8.36","0.35999999999999943","4.50","454426.734"
"2020/04/21","7.69","8.07","7.55","8","0.8700000000000001","12.20","492709.299"
"2020/04/20","7.1","7.25","7.09","7.13","0.08000000000000007","1.13","167431.865"
"2020/04/17","6.96","7.15","6.96","7.05","-0.3700000000000001","-4.99","210202.2"
"2020/04/16","7.53","7.56","7.41","7.42","0.6699999999999999","9.93","275178.036"
"2020/04/15","6.81","6.83","6.73","6.75","-0.2599999999999998","-3.71","229673.626"
"2020/04/14","7.39","7.41","6.99","7.01","-0.6600000000000001","-8.60","342145.358"
"2020/04/13","7.75","7.76","7.6","7.67","0.08999999999999986","1.19","145161.922"
"2020/04/10","7.63","7.71","7.52","7.58","-0.25","-3.19","159939.879"
"2020/04/09","7.75","7.88","7.7","7.83","0.03000000000000025","0.38","200279.134"
"2020/04/08","8.12","8.17","7.74","7.8","0.10999999999999943","1.43","305195.688"
"2020/04/07","7.63","7.76","7.55","7.69","0.10000000000000053","1.32","313136.689"
"2020/04/06","7.91","8.08","7.58","7.59","-1.1600000000000001","-13.26","544916.033"
"2020/04/01","8.66","8.83","8.65","8.75","-0.1899999999999995","-2.13","381679.808"
"2020/03/31","8.76","9.11","8.64","8.94","0","0.00","413448.98"
"2020/03/30","9.64","9.9","8.92","8.94","-0.16000000000000014","-1.76","706803.019"
"2020/03/27","8.47","9.14","8.46","9.1","-0.33000000000000007","-3.50","494282.247"
"2020/03/26","9.16","9.59","9.09","9.43","1.0600000000000005","12.66","497312.952"
"2020/03/25","8.22","8.61","7.93","8.37","0.33999999999999986","4.23","508017.535"
"2020/03/24","8.38","8.39","7.87","8.03","-3.9700000000000006","-33.08","700597.48"
"2020/03/23","12.65","13","11.5","12","0.8200000000000003","7.33","741423.182"
"2020/03/20","12.01","12.19","11.17","11.18","-3.0199999999999996","-21.27","711184.112"
"2020/03/19","12.44","14.29","12.34","14.2","2.8999999999999986","25.66","982552.187"
"2020/03/18","10.32","11.3","10.28","11.3","1.8800000000000008","19.96","869273.587"
"2020/03/17","10","10.08","8.87","9.42","0.15000000000000036","1.62","901345.638"
"2020/03/16","8.98","9.28","8.79","9.27","1.0399999999999991","12.64","606013.616"
"2020/03/13","8.8","9.19","8.01","8.23","0.5800000000000001","7.58","1156237.833"
"2020/03/12","6.95","8","6.94","7.65","0.9400000000000004","14.01","929322.571"
"2020/03/11","6.48","6.72","6.34","6.71","1.0700000000000003","18.97","569120.347"
"2020/03/10","6.2","6.2","5.62","5.64","-1.0700000000000003","-15.95","757832.181"
