,FB_VIX,S&P 500,原油,美元,道瓊,那斯達克,恒生,上證,日經,總確診,每日確診
2017-01-03,20.04,2257.83,52.33,32.2640,19881.76,5429.08,22150.40,3135.92,,,
2017-01-04,18.92,2270.75,53.26,32.2270,19942.16,5477.00,22134.47,3158.79,19594.16,,
2017-01-05,18.07,2269.00,53.76,32.2290,19899.29,5487.94,22456.69,3165.41,19520.69,,
2017-01-06,17.84,2276.98,53.99,31.9430,19963.80,5521.06,22503.01,3154.32,19454.33,,
2017-01-09,17.69,2268.90,51.96,32.0410,19887.38,5531.82,22558.69,3171.24,19454.33,,
2017-01-10,17.67,2268.90,50.82,32.0030,19855.53,5551.82,22744.85,3161.67,19301.44,,
2017-01-11,17.6,2275.32,52.25,31.9290,19954.28,5563.65,22935.35,3136.75,19364.67,,
2017-01-12,17.3,2270.44,53.01,31.9140,19891.00,5547.49,22829.02,3119.29,19134.70,,
2017-01-13,17.08,2274.64,52.37,31.7060,19885.73,5574.12,22937.38,3112.76,19287.28,,
2017-01-16,17.22,2274.64,52.37,31.5820,19885.73,5574.12,22718.15,3103.43,19095.24,,
2017-01-17,17.16,2267.89,52.48,31.6810,19826.77,5538.73,22840.97,3108.77,18813.53,,
2017-01-18,16.79,2271.89,51.08,31.3510,19804.72,5555.65,23098.26,3113.01,18894.37,,
2017-01-19,16.93,2263.69,51.37,31.5790,19732.40,5540.08,23049.96,3101.30,19072.25,,
2017-01-20,17.09,2271.31,52.42,31.6130,19827.25,5555.33,22885.91,3123.14,19137.91,,
2017-01-23,16.6,2265.20,52.75,31.5230,19799.85,5552.94,22898.52,3136.77,18891.03,,
2017-01-24,16.15,2280.07,53.18,31.4120,19912.71,5600.96,22949.86,3142.55,18787.99,,
2017-02-02,15.39,2280.85,53.54,31.2810,19884.91,5636.20,23184.52,3142.55,18914.58,,
2017-02-03,15.38,2297.42,53.83,31.0800,20071.46,5666.77,23129.21,3140.17,18918.20,,
2017-02-06,14.86,2292.56,53.01,30.8520,20052.42,5663.55,23348.24,3156.98,18976.71,,
2017-02-07,14.92,2293.08,52.17,30.9220,20090.29,5674.22,23331.57,3153.09,18910.78,,
2017-02-08,14.99,2294.67,52.34,31.0300,20054.34,5682.45,23485.13,3166.98,19007.60,,
2017-02-09,14.94,2307.87,53.00,31.1110,20172.40,5715.18,23525.14,3183.18,18907.67,,
2017-02-10,14.64,2316.10,53.86,31.0400,20269.37,5734.13,23574.98,3196.70,19378.93,,
2017-02-13,14.2,2328.25,52.93,30.9520,20412.16,5763.96,23710.98,3216.84,19459.15,,
2017-02-14,13.87,2337.58,53.20,31.0100,20504.41,5782.57,23703.01,3217.93,19238.98,,
2017-02-15,13.08,2349.25,53.11,30.7550,20611.86,5819.44,23994.87,3212.99,19437.98,,
2017-02-16,13.64,2347.22,53.36,30.7480,20619.77,5814.90,24107.70,3229.62,19347.53,,
2017-02-16,13.64,2347.22,53.36,30.7480,20619.77,5814.90,24107.70,3229.62,19347.53,,
2017-02-16,13.64,2347.22,53.36,30.7480,20619.77,5814.90,24107.70,3229.62,19347.53,,
2017-02-16,13.64,2347.22,53.36,30.7480,20619.77,5814.90,24107.70,3229.62,19347.53,,
2017-02-16,13.64,2347.22,53.36,30.7480,20619.77,5814.90,24107.70,3229.62,19347.53,,
2017-02-16,13.64,2347.22,53.36,30.7480,20619.77,5814.90,24107.70,3229.62,19347.53,,
